Pos,球員,排名,勝率,直板勝率,橫板勝率,右手勝率,左手勝率,男子勝率,女子勝率,穩定率,爆發率,平面勝率,短顆勝率,中顆勝率,長顆勝率,NT勝率
1,葉柏旻,1,66.67,100.00,62.50,75.00,0.00,66.67,-,66.67,-,50.00,0.00,-,-,-
2,黃建都,2,100.00,-,100.00,100.00,100.00,100.00,100.00,-,-,100.00,100.00,-,100.00,-
3,林晉霆,3,100.00,-,100.00,100.00,-,100.00,100.00,100.00,-,100.00,-,-,-,100.00
4,林鴻昇,4,100.00,-,100.00,100.00,100.00,100.00,-,100.00,-,100.00,-,-,100.00,100.00
5,張峻林,5,83.52,88.24,82.61,85.53,68.42,83.54,85.00,89.86,61.54,75.00,100.00,100.00,-,-
6,王志耿,6,89.06,87.50,89.29,90.38,83.33,87.72,100.00,91.67,50.00,70.59,83.33,100.00,-,0.00
7,楊致興,7,85.71,-,85.71,80.00,100.00,100.00,75.00,85.71,-,80.00,-,-,100.00,-
8,劉士銘,8,79.73,76.92,81.13,80.95,77.78,79.10,100.00,93.02,60.71,80.00,100.00,-,-,-
9,趙偉伯,9,80.95,100.00,80.00,88.24,50.00,78.95,100.00,75.00,75.00,75.00,100.00,-,-,-
10,黎彥君,10,97.22,100.00,96.67,96.43,100.00,96.67,100.00,97.06,-,85.71,100.00,-,100.00,-
11,葉旗山,11,86.67,100.00,85.71,92.86,0.00,84.62,100.00,86.67,-,87.50,100.00,-,-,-
12,金子恆,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,賴俊穎,13,90.91,-,90.91,90.00,100.00,88.89,100.00,95.00,100.00,81.82,100.00,-,100.00,100.00
14,簡詩耘,14,100.00,100.00,100.00,100.00,100.00,100.00,-,100.00,-,100.00,-,-,100.00,-
15,任家良,15,94.03,100.00,93.65,96.49,80.00,93.44,100.00,100.00,92.59,63.64,100.00,100.00,100.00,-
16,許滋玹,16,80.00,-,80.00,80.00,-,80.00,-,80.00,-,100.00,66.67,-,-,-
17,王鄰凱,17,85.71,100.00,83.33,83.33,100.00,80.00,100.00,-,-,85.71,-,-,-,-
18,陳聖武,18,92.00,100.00,91.67,91.67,100.00,90.00,100.00,92.00,100.00,80.00,-,-,-,-
19,哲綸,19,80.56,100.00,78.79,83.87,60.00,77.42,100.00,100.00,85.71,58.82,100.00,100.00,100.00,100.00
20,夏宇,20,100.00,-,100.00,100.00,100.00,100.00,-,100.00,100.00,100.00,-,100.00,-,-
21,羅凱,21,85.71,-,85.71,85.71,-,85.71,-,-,-,83.33,100.00,-,-,-
22,林鈺宭,22,50.00,-,50.00,66.67,0.00,50.00,-,50.00,-,33.33,-,-,100.00,-
23,黎彥廷,23,79.31,100.00,77.78,80.77,66.67,77.78,100.00,82.14,-,58.33,100.00,-,100.00,-
24,許价印,24,81.25,100.00,78.57,92.86,0.00,83.33,75.00,78.57,100.00,75.00,-,-,100.00,-
25,蔡侑臻,25,77.78,77.78,77.50,78.21,75.00,75.61,100.00,83.87,74.58,53.85,100.00,100.00,100.00,100.00
26,張睿煬,26,76.92,-,76.92,75.00,100.00,75.00,100.00,81.82,25.00,62.50,-,100.00,-,-
27,黃兆銨,27,73.33,100.00,76.92,72.73,75.00,78.57,0.00,78.57,-,50.00,100.00,-,100.00,0.00
28,張秉恩,28,87.50,-,87.50,87.50,-,87.50,-,100.00,0.00,80.00,100.00,-,-,-
29,莊若榛,29,50.00,-,50.00,100.00,33.33,50.00,-,50.00,-,50.00,-,-,-,-
30,張秉恩,30,85.71,100.00,80.00,85.71,-,83.33,100.00,85.71,-,83.33,100.00,-,100.00,-
31,吳晉旭,31,75.00,-,75.00,66.67,100.00,85.71,0.00,75.00,100.00,75.00,-,-,-,-
32,程弘宇,32,73.81,100.00,72.50,74.19,72.73,75.00,66.67,73.33,69.23,71.43,71.43,-,100.00,-
33,廖欣洋,33,80.00,-,80.00,100.00,50.00,80.00,-,100.00,75.00,66.67,-,-,100.00,-
34,潘正洋,34,67.16,61.54,68.10,67.86,61.11,68.38,53.85,87.27,52.70,55.81,100.00,-,100.00,100.00
35,曾瑞超,35,92.45,88.46,92.74,92.57,90.63,92.27,92.31,96.13,83.33,63.16,100.00,100.00,100.00,100.00
36,王乃毅,36,75.00,-,75.00,75.00,-,66.67,100.00,75.00,-,71.43,100.00,-,-,-
37,張廷嘉,37,73.08,100.00,70.45,69.05,88.89,75.00,57.14,93.75,33.33,70.00,-,50.00,100.00,-
38,陳瑀婕,38,20.00,-,20.00,50.00,0.00,20.00,-,20.00,-,20.00,-,-,-,-
39,洪承暐,39,69.35,80.00,68.42,71.19,33.33,64.81,100.00,73.33,61.11,53.57,100.00,0.00,50.00,-
40,許安柏,40,84.38,81.82,86.27,83.93,87.50,82.69,91.67,93.75,53.33,63.64,75.00,-,0.00,0.00
41,洪晨瑋,41,75.00,-,75.00,100.00,0.00,75.00,-,-,-,66.67,100.00,-,-,-
42,黃士軒,42,71.43,100.00,66.67,71.43,-,66.67,100.00,71.43,-,71.43,-,-,-,-
43,楊榮宗,43,90.91,100.00,90.00,96.30,66.67,89.29,100.00,96.77,0.00,84.62,100.00,-,100.00,-
44,洪堉恩,44,60.00,-,60.00,75.00,0.00,60.00,-,50.00,100.00,33.33,-,-,100.00,-
45,Matt Solt,45,60.00,0.00,75.00,60.00,-,60.00,-,60.00,-,50.00,100.00,-,-,-
46,鄧耀樑,46,80.95,100.00,73.33,78.57,80.00,73.33,100.00,78.95,-,77.78,-,-,-,-
47,李 尚澤,47,73.91,100.00,72.73,76.19,50.00,68.42,100.00,92.31,50.00,62.50,100.00,-,100.00,-
48,黃柏寰,48,72.73,-,70.00,75.00,66.67,72.73,-,77.78,0.00,66.67,-,100.00,-,-
49,張秉恩,49,83.87,100.00,82.46,82.14,100.00,81.63,92.31,85.00,33.33,62.50,80.00,100.00,100.00,100.00
50,許威柏,50,40.00,-,50.00,25.00,100.00,40.00,-,40.00,-,40.00,-,-,-,-
51,蔡孟芫,51,100.00,-,100.00,100.00,100.00,100.00,-,100.00,-,100.00,100.00,-,-,-
52,吳承峰,52,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,-,0.00,-,-,0.00,-
53,陳玉山,53,100.00,-,100.00,100.00,-,100.00,-,-,-,100.00,100.00,-,-,-
54,莊昀展,54,74.68,75.00,74.65,74.60,75.00,73.85,78.57,82.00,65.71,55.56,71.43,66.67,83.33,100.00
55,8張元睿,55,81.82,100.00,75.00,85.71,75.00,80.00,100.00,80.00,83.33,75.00,-,-,-,-
56,蔡佩蓉,56,89.53,97.92,87.24,89.13,91.30,89.66,85.71,91.71,75.00,62.50,92.86,100.00,100.00,100.00
57,林宇弘,58,40.00,-,40.00,40.00,-,50.00,0.00,40.00,-,33.33,50.00,0.00,100.00,-
58,廖浩鈞,59,81.97,100.00,78.43,85.19,57.14,81.82,83.33,89.13,60.00,50.00,100.00,100.00,100.00,-
59,陳鼎翔,60,76.19,-,76.19,75.76,77.78,74.36,100.00,77.78,73.33,52.63,75.00,-,-,-
60,洪胥恆,61,62.50,-,62.50,66.67,0.00,53.85,100.00,60.00,-,100.00,-,100.00,-,-
61,吳宜琪,62,71.43,-,71.43,71.43,-,66.67,100.00,76.92,0.00,70.00,0.00,-,-,-
62,吳沅鍇,63,98.08,100.00,97.67,97.78,100.00,97.83,100.00,100.00,75.00,90.00,-,-,100.00,-
63,黃培祐,64,93.75,100.00,92.31,96.43,75.00,92.86,100.00,96.67,100.00,75.00,100.00,-,100.00,-
64,陳芋臻,65,67.86,66.67,68.00,68.00,66.67,69.23,50.00,76.00,0.00,63.16,100.00,50.00,0.00,-
65,陳澤,66,78.57,-,76.92,84.62,0.00,90.91,33.33,72.73,100.00,71.43,66.67,100.00,100.00,100.00
66,黃祐柏,67,75.00,100.00,74.07,76.92,50.00,65.00,100.00,75.00,0.00,57.14,66.67,100.00,-,-
67,蔡維剛,68,66.67,0.00,73.91,75.00,42.86,77.27,20.00,60.00,66.67,28.57,100.00,100.00,0.00,100.00
68,劉士霆,69,87.50,-,87.50,83.33,100.00,87.50,-,86.67,50.00,81.82,100.00,-,100.00,-
69,吳東潤,70,71.43,85.71,66.67,67.74,100.00,73.08,66.67,82.14,16.67,61.54,100.00,-,-,-
70,余秉桓,71,80.00,85.71,73.68,78.26,66.67,75.00,100.00,81.82,50.00,57.14,66.67,100.00,100.00,-
71,黃博揚,72,82.99,90.91,82.09,84.96,64.29,82.41,84.62,93.68,66.00,60.71,77.78,33.33,100.00,100.00
72,莊凱翔,73,75.00,100.00,72.73,75.00,-,70.00,100.00,100.00,57.14,77.78,-,-,-,-
73,林宗佑,74,69.03,80.00,63.86,67.42,66.67,63.64,87.50,81.25,24.00,57.14,50.00,100.00,-,0.00
74,林昱辰,75,85.00,-,85.00,94.44,0.00,78.57,100.00,91.67,57.14,75.00,75.00,-,100.00,-
75,吳汯潾,76,78.64,100.00,76.92,80.00,75.00,80.65,66.67,85.53,61.54,54.55,100.00,66.67,40.00,100.00
76,許嘉辰,77,67.65,50.00,68.75,71.43,50.00,71.43,50.00,79.31,0.00,47.06,75.00,-,66.67,-
77,廖浩鈞,78,75.00,100.00,72.73,70.00,100.00,75.00,-,72.73,100.00,25.00,100.00,-,-,-
78,黃悅,79,81.63,100.00,81.40,81.82,80.00,80.95,85.71,81.25,-,54.55,75.00,-,100.00,100.00
79,施亮維,80,91.67,-,90.91,90.48,100.00,90.91,100.00,100.00,89.47,50.00,100.00,-,100.00,100.00
80,陳廷,81,82.35,75.00,83.33,85.19,71.43,81.82,100.00,89.29,50.00,73.33,100.00,100.00,100.00,-
81,宗岳蔡,82,86.36,100.00,81.25,89.47,66.67,84.21,100.00,75.00,88.89,70.00,100.00,-,100.00,-
82,周茂彬,83,85.19,-,85.19,85.71,83.33,87.50,66.67,66.67,-,66.67,100.00,50.00,-,100.00
83,蘇品錥,84,69.23,100.00,67.57,72.73,50.00,67.65,80.00,83.33,68.00,52.38,-,-,100.00,-
84,陳羲,85,75.00,-,70.00,88.89,0.00,88.89,0.00,100.00,0.00,75.00,-,-,-,-
85,方詠恩,86,83.15,100.00,81.33,80.77,100.00,82.50,87.50,88.31,45.45,53.33,100.00,-,-,-
86,李培綸,87,28.57,100.00,20.00,33.33,0.00,33.33,0.00,28.57,-,50.00,-,-,0.00,0.00
87,許威柏,88,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,-,100.00,-
88,陳崨寧,89,76.67,100.00,75.86,81.48,33.33,79.17,66.67,80.77,60.00,61.54,60.00,100.00,100.00,-
89,黃培睿,90,78.57,-,78.57,80.77,50.00,76.19,85.71,88.00,0.00,64.71,100.00,-,-,-
90,江馨妮,91,66.22,82.93,62.64,68.22,62.50,70.08,40.00,90.00,25.53,100.00,-,100.00,60.00,-
91,林亮儒,92,87.10,100.00,83.33,86.67,100.00,88.89,75.00,91.67,84.21,77.78,100.00,100.00,100.00,-
92,孫子宜,93,73.68,-,73.33,75.00,100.00,71.43,100.00,84.62,50.00,80.00,-,-,-,-
93,賴祥奕,94,75.79,71.43,76.74,76.83,69.23,71.79,94.12,84.38,60.71,60.00,66.67,-,100.00,100.00
94,洪翔宥,95,75.00,100.00,72.00,79.17,33.33,70.83,100.00,87.50,50.00,66.67,100.00,100.00,50.00,-
95,郭岳東,96,87.99,94.41,86.48,89.60,73.75,89.10,76.81,93.02,65.07,48.21,93.33,66.67,92.31,100.00
96,阮一飛,97,100.00,-,100.00,100.00,-,100.00,-,-,-,100.00,-,-,100.00,-
97,張堯評,98,65.71,100.00,60.00,58.62,100.00,56.52,81.82,61.11,66.67,45.45,50.00,-,-,100.00
98,林與澈,99,85.71,75.00,90.00,83.33,100.00,83.33,100.00,100.00,71.43,60.00,100.00,-,100.00,-
99,黃守心,100,66.67,100.00,60.00,66.67,-,66.67,-,80.00,0.00,80.00,0.00,-,-,-
100,張翊權,101,85.71,-,85.71,83.33,100.00,83.33,100.00,100.00,75.00,83.33,100.00,-,-,-
101,沈柏諺,102,100.00,100.00,100.00,100.00,100.00,100.00,100.00,-,-,100.00,-,-,100.00,-
102,蔡宗桓,103,69.49,93.33,65.35,71.17,42.86,68.63,75.00,77.27,67.71,53.45,100.00,50.00,90.91,100.00
103,賴萱恩,104,87.50,100.00,85.37,90.00,75.00,86.05,100.00,86.84,62.50,66.67,100.00,100.00,100.00,-
104,曾翌誠,105,77.78,-,77.78,75.00,100.00,66.67,100.00,85.71,66.67,77.78,-,-,-,-
105,李駿朋,106,100.00,100.00,100.00,100.00,100.00,100.00,-,100.00,-,100.00,-,-,100.00,-
106,陳崇維,107,66.67,-,66.67,80.00,0.00,50.00,100.00,100.00,0.00,80.00,0.00,-,-,-
107,黃源鈞,108,77.78,-,77.78,75.00,100.00,100.00,33.33,33.33,100.00,71.43,100.00,-,100.00,-
108,李柏宏,109,100.00,-,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,-,-,100.00,-
109,游智杰,110,33.33,50.00,28.57,37.50,0.00,33.33,33.33,33.33,-,33.33,0.00,-,50.00,-
110,朱宥家,111,81.82,93.33,77.50,84.62,33.33,80.85,87.50,94.44,57.89,100.00,100.00,-,100.00,-
111,趙秦平,112,100.00,-,100.00,100.00,100.00,100.00,100.00,-,-,100.00,100.00,-,-,-
112,楊昊勳,113,73.02,85.71,70.91,71.93,80.00,69.09,100.00,93.75,65.22,57.14,75.00,-,100.00,-
113,張淞淋,114,89.80,89.47,89.80,90.13,81.25,89.37,90.63,92.21,12.50,58.06,87.50,100.00,100.00,100.00
114,陳威銘,115,50.00,0.00,55.56,50.00,-,37.50,100.00,55.56,0.00,57.14,33.33,-,100.00,-
115,陳品翰,116,66.67,100.00,60.00,66.67,-,50.00,100.00,100.00,60.00,66.67,-,-,-,-
116,蔡佳甫,117,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,-,100.00,-
117,吳晉懷,118,64.71,100.00,66.67,62.50,100.00,64.71,-,80.77,12.50,58.33,100.00,-,-,-
118,徐靖翔,119,75.00,50.00,76.92,76.92,50.00,76.19,71.43,83.33,72.73,56.25,100.00,-,-,-
119,歐書妤,121,85.71,88.24,85.07,88.16,62.50,84.93,90.91,90.63,70.00,68.75,60.00,100.00,100.00,-
120,洪胥恆,122,76.06,-,75.71,77.94,33.33,74.60,87.50,95.00,69.23,55.88,75.00,100.00,100.00,-
121,張育杰(北台),123,66.67,100.00,56.52,68.00,50.00,66.67,50.00,76.19,37.50,41.67,100.00,-,100.00,-
122,范姜博楷,124,66.67,100.00,63.64,60.00,100.00,60.00,100.00,80.00,0.00,42.86,100.00,-,100.00,-
123,王元佑,125,90.29,95.65,89.86,89.66,88.89,90.11,80.00,90.53,0.00,57.14,-,100.00,-,-
124,陳崇維,126,83.33,100.00,75.00,80.00,100.00,100.00,50.00,80.00,100.00,50.00,-,100.00,100.00,100.00
125,蔡子淮,127,82.22,66.67,82.05,81.08,83.33,72.41,100.00,82.86,71.43,61.90,100.00,100.00,100.00,100.00
126,陳泰儀(台北),128,72.73,75.00,75.00,73.33,100.00,70.37,100.00,80.77,25.00,58.33,-,-,-,-
127,呂威邑,129,75.58,90.00,74.32,75.95,66.67,73.33,90.00,82.09,50.00,52.63,100.00,100.00,100.00,-
128,謝政翰,130,85.00,100.00,82.35,82.35,100.00,82.35,100.00,88.89,-,70.00,-,100.00,100.00,-
129,邱浩宇,131,85.37,100.00,83.78,83.78,100.00,82.35,100.00,89.66,57.14,50.00,100.00,100.00,100.00,-
130,曾禾家,132,90.00,100.00,86.49,89.13,100.00,89.80,100.00,92.31,81.82,100.00,50.00,-,-,-
131,張哲睿,133,78.05,100.00,76.92,76.92,100.00,80.56,60.00,83.33,33.33,47.06,100.00,100.00,100.00,-
132,劉濬瑞,134,74.07,-,74.07,72.00,100.00,76.00,50.00,83.33,55.56,66.67,100.00,-,-,-
133,李紹毓,135,75.00,-,75.00,66.67,100.00,75.00,-,-,-,75.00,-,-,-,-
134,洪翊翔,136,63.89,100.00,59.38,68.75,25.00,58.06,100.00,93.75,50.00,50.00,100.00,-,100.00,100.00
135,劉文弘,137,58.33,-,58.33,57.14,66.67,59.09,50.00,66.67,44.44,57.14,100.00,-,0.00,100.00
136,廖昱聖,138,85.29,75.00,85.71,85.71,83.33,76.92,96.55,94.74,81.63,50.00,100.00,100.00,100.00,-
137,楊元祥,139,79.17,100.00,70.59,79.17,-,76.19,100.00,78.26,-,70.00,0.00,100.00,100.00,100.00
138,渡邊聰太,140,60.00,-,60.00,50.00,100.00,50.00,100.00,75.00,0.00,50.00,-,100.00,-,-
139,陳宥宸,141,60.91,42.86,62.37,60.64,53.85,62.22,47.06,68.09,52.54,54.76,60.00,100.00,75.00,50.00
140,葉璿,142,85.37,100.00,83.87,84.62,100.00,84.21,100.00,86.84,50.00,75.00,0.00,100.00,100.00,-
141,金宇彬,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,謝顏輿,144,86.67,70.00,90.36,87.88,60.00,86.73,83.33,92.00,72.41,75.00,100.00,50.00,100.00,100.00
143,劉晁瑋,145,77.87,81.71,77.51,78.21,73.91,77.89,78.05,85.56,46.88,51.85,75.00,100.00,77.78,100.00
144,楊芸婕,146,62.22,33.33,64.29,59.52,100.00,55.26,100.00,71.43,14.29,51.72,66.67,100.00,50.00,-
145,游輝傳,147,73.60,80.00,72.73,72.97,78.57,71.30,88.24,82.00,68.42,56.41,71.43,100.00,80.00,100.00
146,李宜宸,148,71.53,75.00,69.92,72.09,54.55,69.11,82.35,80.77,64.77,51.72,66.67,100.00,66.67,-
147,許耀之,149,83.33,100.00,82.14,85.19,66.67,82.76,100.00,83.33,-,61.54,100.00,-,100.00,100.00
148,余達興,150,73.00,76.26,73.24,74.33,61.90,73.72,72.00,83.79,48.78,54.84,80.00,33.33,75.00,-
149,陳柏佑,151,87.76,100.00,83.78,90.00,77.78,88.37,83.33,89.36,0.00,73.33,75.00,-,0.00,-
150,賴維崧,152,40.00,-,40.00,40.00,-,40.00,-,40.00,-,50.00,0.00,-,-,-
151,許弘鈞,153,64.71,100.00,57.14,71.43,33.33,62.50,100.00,83.33,20.00,70.00,-,0.00,-,-
152,蔡羿澤,154,54.12,71.43,52.29,54.49,50.00,53.95,55.56,72.22,52.00,50.45,50.00,60.00,41.18,100.00
153,楊宗時,155,68.47,73.91,67.95,69.70,66.67,72.73,50.00,80.77,34.78,50.00,0.00,-,66.67,-
154,張庭維,156,20.00,-,20.00,25.00,0.00,20.00,-,20.00,-,0.00,0.00,-,-,100.00
155,陳國城,157,50.00,100.00,0.00,100.00,0.00,100.00,0.00,-,-,50.00,-,-,-,-
156,黃翊晴,158,71.21,80.00,69.81,71.67,60.00,68.00,80.00,85.42,29.41,46.67,66.67,-,100.00,-
157,侯韋劭,159,76.92,50.00,81.82,75.00,100.00,75.00,80.00,83.33,0.00,60.00,-,-,-,-
158,曹維嵩,160,100.00,100.00,100.00,100.00,100.00,100.00,-,100.00,100.00,100.00,-,100.00,100.00,-
159,古易玄,161,57.14,100.00,50.00,60.00,50.00,57.14,-,60.00,50.00,40.00,-,-,100.00,-
160,陳揚叡,162,77.19,69.23,77.50,73.33,88.89,78.85,0.00,78.95,68.75,72.73,100.00,100.00,66.67,-
161,吳宥彥,163,73.17,100.00,70.27,76.92,0.00,70.59,85.71,70.97,80.00,63.64,50.00,100.00,100.00,100.00
162,盧建亨,164,71.43,100.00,78.57,70.00,100.00,71.43,-,78.95,0.00,62.50,100.00,-,100.00,100.00
163,陳誼倫,165,66.67,50.00,68.18,68.18,50.00,65.00,75.00,75.00,44.44,55.56,100.00,-,66.67,-
164,方柏淳,166,75.00,64.71,83.78,80.00,40.00,76.47,75.00,84.21,58.82,80.00,100.00,-,-,-
165,江柏翰,167,66.67,100.00,60.00,60.00,100.00,66.67,-,63.64,100.00,66.67,-,100.00,-,-
166,李昱安,168,50.00,-,50.00,66.67,0.00,50.00,-,-,50.00,50.00,-,-,-,-
167,呂承頤,169,83.56,89.36,81.82,85.29,65.00,83.64,80.00,89.55,31.82,60.87,75.00,-,100.00,0.00
168,陳宏綺,170,68.22,82.86,64.97,69.79,52.38,67.84,71.43,75.48,50.91,51.32,60.00,33.33,85.71,100.00
169,陳漢邦,171,50.00,100.00,40.00,50.00,-,50.00,50.00,50.00,-,40.00,100.00,-,-,-
170,黃凱良,172,57.14,100.00,50.00,57.14,-,66.67,0.00,57.14,-,60.00,50.00,-,-,-
171,朱立文,173,61.54,100.00,54.55,66.67,0.00,54.55,100.00,72.73,-,40.00,-,0.00,-,-
172,梁家蕎,174,45.45,0.00,50.00,40.00,100.00,33.33,100.00,50.00,0.00,45.45,-,-,-,-
173,陳彥旻,175,78.57,100.00,76.92,80.00,75.00,80.00,75.00,75.00,75.00,72.73,100.00,-,-,-
174,陳正宇,176,100.00,100.00,100.00,100.00,-,100.00,-,100.00,100.00,100.00,100.00,-,100.00,-
175,林鴻儒,177,70.21,70.91,71.90,72.39,58.82,72.41,33.33,84.55,42.11,55.17,100.00,0.00,75.00,-
176,張超淳,178,95.24,100.00,91.67,94.12,100.00,94.12,100.00,94.12,100.00,100.00,100.00,-,-,-
177,莊子誼,179,81.82,100.00,77.78,88.89,50.00,90.00,0.00,80.00,100.00,66.67,-,-,-,-
178,郭仁山,180,58.24,70.00,56.76,59.62,42.86,61.90,34.78,85.71,55.70,50.00,50.00,50.00,88.89,66.67
179,李泓德,181,61.54,50.00,63.64,66.67,0.00,70.00,33.33,58.33,100.00,42.86,0.00,100.00,100.00,-
180,張鴻樂,182,76.08,85.71,73.62,75.13,92.86,75.88,87.50,83.23,52.17,77.78,40.00,0.00,50.00,100.00
181,周惟昕,183,87.50,-,87.50,87.50,-,85.71,100.00,85.71,100.00,85.71,100.00,-,-,-
182,楊嘉豪,184,100.00,100.00,100.00,100.00,-,100.00,-,100.00,-,100.00,-,-,-,-
183,馮紹剛,185,82.56,90.00,80.00,82.19,77.78,81.08,87.50,89.55,46.67,62.50,50.00,100.00,100.00,100.00
184,Joshua Mak,186,81.82,-,81.82,90.00,0.00,80.00,100.00,100.00,66.67,75.00,-,-,100.00,-
185,王羿皓,187,68.75,66.67,68.89,71.43,50.00,68.42,70.00,75.68,40.00,50.00,75.00,100.00,50.00,-
186,李沛穎,188,46.88,25.00,48.15,44.83,66.67,40.74,80.00,76.92,23.53,53.33,100.00,-,100.00,100.00
187,吳鎧臣,189,76.92,100.00,70.00,76.92,-,76.92,-,81.82,50.00,66.67,100.00,-,50.00,-
188,王一旻,190,46.30,42.11,47.15,45.81,57.14,44.74,70.00,64.44,25.33,53.57,50.00,0.00,60.00,100.00
189,吳昀蓁,191,67.52,64.29,69.07,67.89,62.50,66.98,72.73,80.85,59.42,54.76,61.54,100.00,77.78,-
190,陳奕昌,192,58.00,33.33,60.00,58.82,50.00,54.43,70.00,86.36,50.00,54.76,66.67,-,100.00,100.00
191,Wai Man Wong,193,85.71,100.00,83.33,83.33,100.00,91.67,50.00,84.62,100.00,33.33,100.00,-,100.00,-
192,謝東甫,194,61.90,40.00,80.00,75.00,33.33,66.67,66.67,85.71,50.00,50.00,100.00,-,100.00,-
193,吳晏甄,195,64.00,100.00,63.64,71.43,33.33,66.67,66.67,100.00,27.27,60.00,66.67,-,-,-
194,廖硯鈞,196,78.67,80.00,78.26,77.94,85.71,79.37,75.00,88.37,71.11,56.25,85.71,66.67,100.00,100.00
195,簡宏儒,197,58.33,50.00,66.67,70.00,0.00,60.00,50.00,66.67,33.33,50.00,-,-,-,-
196,吳文齊,198,71.23,76.47,67.92,70.77,66.67,68.75,85.71,83.33,51.72,60.00,-,-,-,-
197,鐘若夏,199,70.83,72.73,70.75,73.33,57.14,71.60,71.05,78.31,55.56,48.15,40.00,-,77.78,-
198,黃柏騰,200,51.52,50.00,52.73,53.33,40.00,50.98,57.14,64.52,39.39,48.89,57.14,50.00,0.00,-
199,廖慶哲,201,85.00,60.00,88.24,83.33,100.00,86.67,77.78,86.49,50.00,60.00,100.00,-,100.00,100.00
200,葉瑞珍,202,68.56,76.09,66.19,68.93,58.33,69.14,57.14,74.47,50.00,52.94,71.43,100.00,71.43,-
201,林照昕,203,40.00,100.00,25.00,40.00,-,40.00,-,40.00,-,40.00,-,-,-,-
202,邱安佑,204,60.00,0.00,75.00,60.00,-,60.00,-,60.00,-,33.33,100.00,-,-,100.00
203,方賴德,205,36.36,0.00,40.00,33.33,50.00,40.00,0.00,40.00,0.00,36.36,-,-,-,-
204,謝昊廷,206,100.00,100.00,100.00,100.00,-,100.00,-,100.00,100.00,100.00,100.00,-,100.00,-
205,鄭詠澤,207,54.17,62.59,51.56,54.77,51.52,54.25,57.89,73.68,33.63,56.25,100.00,0.00,66.67,-
206,李礎安,208,78.57,-,78.57,83.33,50.00,84.62,0.00,78.57,100.00,77.78,0.00,100.00,100.00,-
207,曾琮愷,209,60.00,0.00,75.00,60.00,-,50.00,100.00,60.00,-,66.67,100.00,-,0.00,-
208,郭人豪,210,80.95,100.00,83.33,80.00,100.00,83.33,66.67,80.95,-,66.67,100.00,-,100.00,100.00
209,陳冠廷,211,78.33,84.00,78.26,80.56,58.33,80.00,60.00,84.47,41.18,60.87,50.00,100.00,0.00,-
210,陳奕龍,212,80.60,64.29,84.00,82.76,62.50,78.33,100.00,95.83,41.18,54.55,100.00,100.00,100.00,-
211,胡滋紜,213,83.33,-,83.33,80.00,100.00,83.33,-,83.33,-,83.33,-,-,-,-
212,蔡旻軒,214,68.42,77.78,68.33,69.85,64.29,69.85,64.29,82.98,46.43,58.33,75.00,-,60.00,100.00
213,林順訢,216,82.86,85.71,82.14,83.33,80.00,84.38,66.67,84.85,75.00,66.67,66.67,100.00,80.00,100.00
214,張淇勛,217,70.64,72.22,70.33,74.00,33.33,70.83,69.23,75.58,52.17,50.00,50.00,100.00,85.71,-
215,許程翔,218,42.86,-,42.86,33.33,100.00,42.86,-,42.86,-,50.00,-,-,0.00,-
216,張資英-新北,219,81.82,-,81.82,80.00,100.00,80.00,100.00,100.00,-,77.78,-,100.00,100.00,-
217,高志平,220,80.45,100.00,79.20,81.03,76.47,77.98,91.67,100.00,80.80,51.11,78.95,100.00,100.00,-
218,春明汗,221,62.50,-,62.50,40.00,100.00,57.14,100.00,62.50,-,80.00,50.00,-,50.00,-
219,黃麒睿,222,83.72,100.00,81.58,83.33,85.71,83.33,100.00,83.33,100.00,68.75,50.00,100.00,80.00,-
220,陳柏翔,223,75.00,-,75.00,100.00,50.00,75.00,-,100.00,66.67,75.00,-,-,-,-
221,楊翔安,224,66.67,62.50,66.28,68.24,50.00,64.20,78.57,85.42,46.81,48.94,57.14,100.00,100.00,100.00
222,沈裕庭,225,74.38,81.48,74.07,75.93,66.67,73.79,90.91,85.71,34.78,71.43,100.00,-,-,-
223,林恭緯,226,77.27,100.00,77.78,83.33,66.67,84.21,50.00,100.00,20.00,100.00,100.00,-,100.00,-
224,林俊佑,227,45.45,0.00,50.00,45.45,-,45.45,-,45.45,-,37.50,-,0.00,100.00,-
225,黃柏寓,228,63.64,80.00,62.96,70.00,0.00,65.63,0.00,67.86,40.00,50.00,66.67,-,50.00,-
226,賴昱翔,229,66.67,84.62,60.42,65.52,66.67,66.04,62.50,74.36,50.00,33.33,0.00,50.00,50.00,100.00
227,洪瑀晨,230,56.67,100.00,53.57,60.71,0.00,59.09,50.00,66.67,52.38,45.45,100.00,-,100.00,-
228,梁家福,231,71.43,50.00,80.00,83.33,0.00,66.67,100.00,66.67,75.00,83.33,-,-,0.00,-
229,郭家穎,232,60.53,75.00,59.38,58.62,71.43,60.71,62.50,75.00,12.50,20.00,40.00,-,100.00,-
230,張子源,233,87.50,-,87.50,100.00,50.00,85.71,100.00,100.00,80.00,85.71,-,-,100.00,-
